month_number,month_name,invoice_no,file_name,relative_path,suggested_public_url,invoice_date,due_date,customer,total_eur
01,January,INV-2026-01-SYN,invoice_2026_01_January.pdf,2026/01/invoice_2026_01_January.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/01/invoice_2026_01_January.pdf,2026-01-15,2026-01-28,Northwind Logistics Ltd.,2328.04
02,February,INV-2026-02-SYN,invoice_2026_02_February.pdf,2026/02/invoice_2026_02_February.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/02/invoice_2026_02_February.pdf,2026-02-15,2026-02-27,Contoso Medical Supplies,2168.32
03,March,INV-2026-03-SYN,invoice_2026_03_March.pdf,2026/03/invoice_2026_03_March.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/03/invoice_2026_03_March.pdf,2026-03-15,2026-03-28,Fabrikam Energy Iberia,2170.74
04,April,INV-2026-04-SYN,invoice_2026_04_April.pdf,2026/04/invoice_2026_04_April.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/04/invoice_2026_04_April.pdf,2026-04-15,2026-04-28,Blue Ridge Retail Group,3390.42
05,May,INV-2026-05-SYN,invoice_2026_05_May.pdf,2026/05/invoice_2026_05_May.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/05/invoice_2026_05_May.pdf,2026-05-15,2026-05-28,Alpine Manufacturing GmbH,2986.28
06,June,INV-2026-06-SYN,invoice_2026_06_June.pdf,2026/06/invoice_2026_06_June.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/06/invoice_2026_06_June.pdf,2026-06-15,2026-06-28,Litware Software Services,2744.28
07,July,INV-2026-07-SYN,invoice_2026_07_July.pdf,2026/07/invoice_2026_07_July.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/07/invoice_2026_07_July.pdf,2026-07-15,2026-07-28,Tailspin Trading BV,2664.42
08,August,INV-2026-08-SYN,invoice_2026_08_August.pdf,2026/08/invoice_2026_08_August.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/08/invoice_2026_08_August.pdf,2026-08-15,2026-08-28,A Datum Analytics SARL,4130.94
09,September,INV-2026-09-SYN,invoice_2026_09_September.pdf,2026/09/invoice_2026_09_September.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/09/invoice_2026_09_September.pdf,2026-09-15,2026-09-28,Woodgrove Procurement,3644.52
10,October,INV-2026-10-SYN,invoice_2026_10_October.pdf,2026/10/invoice_2026_10_October.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/10/invoice_2026_10_October.pdf,2026-10-15,2026-10-28,Adventure Works Distribution,3320.24
11,November,INV-2026-11-SYN,invoice_2026_11_November.pdf,2026/11/invoice_2026_11_November.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/11/invoice_2026_11_November.pdf,2026-11-15,2026-11-28,Proseware Field Services,3158.10
12,December,INV-2026-12-SYN,invoice_2026_12_December.pdf,2026/12/invoice_2026_12_December.pdf,https://YOUR_PUBLIC_HOST/invoices/2026/12/invoice_2026_12_December.pdf,2026-12-15,2026-12-28,Wide World Importers,4871.46
